source,destination,date
wuhan,shanghai,2020-02-04
wuhan,hangzhou,2020-02-03
wuhan,shanghai,2020-02-02
wuhan,shanghai,2020-02-02
wuhan,california,2020-02-10
wuhan,guangdong,2020-01-31
guangdong,shanghai,2020-02-06
shanghai,guangdong,2020-02-02
shanghai,guangzhou,2020-02-25
wuhan,andalusia,2020-03-02
wuhan,nanchang,2020-01-21
wuhan,tianmen,2020-02-08
wuhan,shanghai,2020-01-30
wuhan,shanghai,2020-01-29
wuhan,shanghai,2020-02-02
wuhan,shanghai,2020-02-03
wuhan,victoria,2020-01-31
wuhan,nanchang,2020-01-25
wuhan,shangrao,2020-01-26
wuhan,madrid,2020-03-03
wuhan,shanghai,2020-02-04
shanghai,guangdong,2020-01-30
guangdong,kerala,2020-01-31
shanghai,nanchang,2020-01-23
shanghai,england,2020-01-29
shanghai,england,2020-01-29
shanghai,nanchang,2020-01-30
nanchang,seoul,2020-01-30
nanchang,guangdong,2020-01-30
shanghai,shandong,2020-01-23
shanghai,shandong,2020-01-24
shanghai,kunming,2020-01-17
kunming,chungcheongnam,2020-02-06
kunming,suzhou,2020-01-24
kunming,phoenix,2020-01-22
kunming,guangdong,2020-01-31
shanghai,seoul,2020-01-31
shanghai,beijing,2020-01-28
beijing,gyeonggi,2020-01-25
beijing,seoul,2020-01-30
seoul,south korea,2020-02-27
seoul,south korea,2020-02-27
shanghai,texas,2020-02-11
shanghai,sydney,2020-01-24
shanghai,shenzhen,2020-01-11
shanghai,guangdong,2020-02-28
shanghai,guangdong,2020-01-30
shanghai,guangzhou,2020-02-25
shanghai,tokyo,2020-01-31
shanghai,tokyo,2020-01-31
shanghai,shenzhen,2020-01-10
shenzhen,shanghai,2020-01-28
shanghai,nanchang,2020-01-29
nanchang,munich,2020-03-02
nanchang,shanghai,2020-02-07
nanchang,shanghai,2020-01-28
shanghai,wellington,2020-03-15
shanghai,los angeles,2020-01-23
shanghai,chengdu,2020-01-15
shanghai,hong kong,2020-01-21
shanghai,hong kong,2020-01-22
shanghai,vinhphuc,2020-02-11
shanghai,guangdong,2020-02-28
guangdong,shanghai,2020-02-02
shanghai,thanh hoa,2020-01-24
shanghai,thanh hoa,2020-01-24
shanghai,illinois,2020-01-28
shanghai,la crosse county,2020-03-18
la crosse county,new york,2020-03-17
la crosse county,washington,2020-03-24
la crosse county,georgia,2020-03-04
la crosse county,georgia,2020-03-03
la crosse county,wisconsin,2020-03-25
la crosse county,wisconsin,2020-03-23
wisconsin,victoria,2020-03-17
wisconsin,victoria,2020-03-10
wisconsin,idaho,2020-03-14
wisconsin,victoria,2020-03-19
wisconsin,victoria,2020-03-12
victoria,nassau county,2020-03-16
victoria,utah,2020-03-24
victoria,wellington,2020-03-15
shanghai,gold coast,2020-02-05
shanghai,gold coast,2020-01-30
shanghai,melbourne,2020-02-08
shanghai,virginia,2020-03-11
shanghai,dakar,2020-03-20
shanghai,california,2020-02-06
shanghai,guangdong,2020-01-30
shanghai,gold coast,2020-01-28
shanghai,gold coast,2020-02-05
shanghai,singapore,2020-02-03
shanghai,thies,2020-03-20
shanghai,sudkivu,2020-03-22
shanghai,bronx,2020-03-14
bronx,manhattan,2020-03-18
bronx,washington,2020-03-13
shanghai,utrecht,2020-03-10
shanghai,utrecht,2020-03-08
shanghai,dane county,2020-03-21
dane county,wisconsin,2020-03-26
dane county,wisconsin,2020-03-25
dane county,wisconsin,2020-03-20
dane county,wisconsin,2020-03-19
wisconsin,dane county,2020-03-21
wisconsin,dane county,2020-03-13
dane county,wisconsin,2020-03-24
dane county,wisconsin,2020-03-24
shanghai,singapore,2020-02-28
shanghai,singapore,2020-02-17
shanghai,guangdong,2020-02-07
shanghai,singapore,2020-02-18
guangdong,shangrao,2020-01-22
guangdong,jiujiang,2020-01-22
shangrao,nanchang,2020-01-27
shangrao,hangzhou,2020-01-26
nanchang,singapore,2020-01-27
nanchang,guangdong,2020-01-30
guangdong,singapore,2020-02-13
guangdong,singapore,2020-02-06
guangdong,shangrao,2020-02-05
shangrao,leuven,2020-02-03
shangrao,wuhan,2020-01-18
wuhan,madrid,2020-03-03
wuhan,brooklyn,2020-03-18
madrid,castilla la mancha,2020-03-01
madrid,castilla la mancha,2020-03-01
madrid,antioquia,2020-03-11
madrid,talca,2020-03-02
madrid,talca,2020-03-04
madrid,portugal,2020-03-20
madrid,andalusia,2020-03-05
andalusia,madrid,2020-03-04
andalusia,victoria,2020-02-23
shangrao,selangor,2020-02-20
shangrao,guangdong,2020-02-28
guangdong,sydney,2020-01-24
guangdong,taipei,2020-01-24
guangdong,shanghai,2020-01-30
guangdong,shanghai,2020-01-30
shanghai,taipei,2020-01-31
guangdong,xinyu,2020-01-25
guangdong,ganzhou,2020-01-25
xinyu,singapore,2020-03-01
xinyu,singapore,2020-03-09
xinyu,singapore,2020-02-13
xinyu,singapore,2020-02-14
xinyu,guangdong,2020-02-05
xinyu,shanghai,2020-02-05
guangdong,guangzhou,2020-02-25
guangzhou,nanchang,2020-02-26
nanchang,singapore,2020-03-02
shanghai,madrid,2020-03-02
madrid,strasbourg,2020-02-25
madrid,valencia,2020-03-09
madrid,valencia,2020-03-09
madrid,valencia,2020-03-08
madrid,valencia,2020-03-09
